year,Gracie
1880,18
1881,24
1882,19
1883,39
1884,31
1885,40
1886,42
1887,40
1888,65
1889,68
1890,69
1891,79
1892,82
1893,88
1894,90
1895,108
1896,93
1897,116
1898,96
1899,108
1900,158
1901,121
1902,160
1903,151
1904,178
1905,168
1906,153
1907,185
1908,174
1909,189
1910,246
1911,197
1912,289
1913,273
1914,339
1915,414
1916,421
1917,437
1918,448
1919,479
1920,527
1921,516
1922,533
1923,532
1924,536
1925,572
1926,498
1927,496
1928,503
1929,459
1930,474
1931,434
1932,454
1933,410
1934,435
1935,414
1936,455
1937,416
1938,445
1939,424
1940,420
1941,403
1942,434
1943,406
1944,396
1945,378
1946,359
1947,375
1948,364
1949,338
1950,335
1951,326
1952,326
1953,283
1954,319
1955,323
1956,336
1957,391
1958,332
1959,325
1960,317
1961,271
1962,255
1963,231
1964,247
1965,207
1966,176
1967,142
1968,131
1969,129
1970,125
1971,122
1972,88
1973,128
1974,92
1975,103
1976,74
1977,94
1978,87
1979,91
1980,112
1981,113
1982,103
1983,87
1984,93
1985,94
1986,88
1987,113
1988,122
1989,125
1990,131
1991,111
1992,116
1993,121
1994,126
1995,127
1996,187
1997,221
1998,382
1999,894
2000,1311
2001,1911
2002,2155
2003,2723
2004,2957
2005,3374
2006,3292
2007,3478
2008,3429
2009,2858
2010,2420
2011,2232
2012,1993
