year,Gwen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,8
1891,7
1892,5
1893,9
1894,0
1895,5
1896,6
1897,5
1898,0
1899,15
1900,11
1901,16
1902,13
1903,16
1904,17
1905,16
1906,15
1907,19
1908,21
1909,42
1910,24
1911,41
1912,50
1913,64
1914,76
1915,93
1916,92
1917,115
1918,81
1919,98
1920,93
1921,101
1922,111
1923,119
1924,122
1925,109
1926,159
1927,158
1928,187
1929,207
1930,253
1931,197
1932,248
1933,267
1934,260
1935,307
1936,313
1937,280
1938,384
1939,365
1940,365
1941,347
1942,394
1943,391
1944,329
1945,365
1946,491
1947,519
1948,456
1949,461
1950,463
1951,432
1952,479
1953,582
1954,688
1955,746
1956,767
1957,842
1958,898
1959,951
1960,900
1961,888
1962,865
1963,672
1964,622
1965,482
1966,463
1967,379
1968,361
1969,363
1970,361
1971,367
1972,302
1973,213
1974,284
1975,323
1976,276
1977,218
1978,207
1979,210
1980,175
1981,153
1982,136
1983,132
1984,108
1985,103
1986,69
1987,80
1988,50
1989,64
1990,55
1991,57
1992,47
1993,41
1994,51
1995,37
1996,47
1997,60
1998,62
1999,55
2000,68
2001,91
2002,134
2003,149
2004,123
2005,156
2006,160
2007,186
2008,201
2009,185
2010,163
2011,196
2012,221
