year,Gideon
1880,10
1881,7
1882,6
1883,5
1884,9
1885,13
1886,10
1887,8
1888,13
1889,0
1890,7
1891,5
1892,6
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,6
1900,11
1901,5
1902,0
1903,0
1904,0
1905,0
1906,7
1907,6
1908,0
1909,11
1910,8
1911,0
1912,14
1913,19
1914,22
1915,16
1916,23
1917,40
1918,17
1919,26
1920,28
1921,25
1922,18
1923,29
1924,24
1925,14
1926,18
1927,26
1928,15
1929,29
1930,14
1931,13
1932,10
1933,6
1934,10
1935,9
1936,12
1937,16
1938,11
1939,14
1940,12
1941,8
1942,15
1943,11
1944,8
1945,9
1946,19
1947,17
1948,12
1949,8
1950,17
1951,17
1952,11
1953,15
1954,14
1955,20
1956,20
1957,14
1958,11
1959,20
1960,16
1961,13
1962,23
1963,26
1964,15
1965,17
1966,21
1967,17
1968,22
1969,38
1970,26
1971,37
1972,43
1973,36
1974,45
1975,49
1976,42
1977,42
1978,37
1979,46
1980,83
1981,67
1982,77
1983,48
1984,59
1985,51
1986,58
1987,80
1988,78
1989,99
1990,78
1991,94
1992,82
1993,106
1994,99
1995,135
1996,111
1997,116
1998,121
1999,131
2000,177
2001,255
2002,227
2003,285
2004,286
2005,304
2006,430
2007,485
2008,498
2009,484
2010,576
2011,691
2012,760
