year,Glynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,7
1910,7
1911,7
1912,22
1913,24
1914,34
1915,38
1916,49
1917,41
1918,49
1919,36
1920,49
1921,54
1922,47
1923,63
1924,54
1925,74
1926,64
1927,70
1928,82
1929,57
1930,77
1931,68
1932,76
1933,65
1934,85
1935,79
1936,66
1937,67
1938,75
1939,78
1940,88
1941,93
1942,92
1943,117
1944,80
1945,89
1946,101
1947,133
1948,123
1949,128
1950,142
1951,104
1952,111
1953,116
1954,128
1955,129
1956,105
1957,98
1958,104
1959,79
1960,83
1961,99
1962,90
1963,82
1964,75
1965,51
1966,49
1967,56
1968,47
1969,45
1970,55
1971,36
1972,32
1973,28
1974,31
1975,42
1976,24
1977,41
1978,22
1979,31
1980,36
1981,33
1982,33
1983,22
1984,27
1985,14
1986,22
1987,28
1988,22
1989,15
1990,20
1991,26
1992,26
1993,11
1994,21
1995,14
1996,8
1997,10
1998,13
1999,13
2000,6
2001,12
2002,8
2003,13
2004,0
2005,9
2006,5
2007,5
2008,0
2009,0
2010,6
2011,0
2012,6
