year,Gerson
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,5
1912,15
1913,8
1914,6
1915,11
1916,17
1917,16
1918,13
1919,12
1920,12
1921,15
1922,11
1923,14
1924,15
1925,13
1926,10
1927,16
1928,15
1929,11
1930,7
1931,9
1932,10
1933,10
1934,5
1935,5
1936,10
1937,0
1938,8
1939,12
1940,6
1941,8
1942,7
1943,5
1944,6
1945,6
1946,0
1947,8
1948,0
1949,5
1950,0
1951,0
1952,9
1953,0
1954,5
1955,5
1956,0
1957,0
1958,8
1959,0
1960,0
1961,0
1962,5
1963,8
1964,8
1965,5
1966,7
1967,0
1968,11
1969,0
1970,12
1971,12
1972,9
1973,0
1974,10
1975,8
1976,9
1977,18
1978,9
1979,15
1980,18
1981,23
1982,25
1983,24
1984,23
1985,30
1986,26
1987,29
1988,38
1989,43
1990,52
1991,58
1992,67
1993,66
1994,74
1995,63
1996,81
1997,75
1998,85
1999,88
2000,95
2001,111
2002,101
2003,115
2004,119
2005,143
2006,137
2007,137
2008,145
2009,117
2010,114
2011,94
2012,101
