year,Glenna
1880,7
1881,10
1882,6
1883,10
1884,9
1885,22
1886,15
1887,16
1888,25
1889,20
1890,24
1891,19
1892,26
1893,32
1894,24
1895,38
1896,43
1897,51
1898,45
1899,51
1900,45
1901,32
1902,41
1903,50
1904,53
1905,46
1906,49
1907,41
1908,52
1909,62
1910,66
1911,72
1912,97
1913,113
1914,149
1915,185
1916,221
1917,249
1918,276
1919,275
1920,268
1921,328
1922,330
1923,391
1924,399
1925,410
1926,467
1927,429
1928,519
1929,477
1930,556
1931,563
1932,515
1933,505
1934,515
1935,479
1936,425
1937,499
1938,463
1939,456
1940,467
1941,462
1942,489
1943,500
1944,512
1945,453
1946,529
1947,613
1948,588
1949,566
1950,600
1951,646
1952,582
1953,539
1954,521
1955,461
1956,404
1957,324
1958,309
1959,297
1960,287
1961,257
1962,298
1963,241
1964,210
1965,164
1966,152
1967,161
1968,138
1969,141
1970,132
1971,143
1972,117
1973,91
1974,87
1975,99
1976,86
1977,77
1978,52
1979,62
1980,61
1981,49
1982,45
1983,41
1984,42
1985,47
1986,51
1987,53
1988,49
1989,52
1990,38
1991,41
1992,40
1993,42
1994,45
1995,31
1996,30
1997,31
1998,30
1999,17
2000,20
2001,16
2002,11
2003,18
2004,20
2005,8
2006,9
2007,13
2008,10
2009,9
2010,8
2011,9
2012,8
