year,Glover
1880,0
1881,0
1882,0
1883,0
1884,0
1885,7
1886,0
1887,7
1888,7
1889,0
1890,0
1891,5
1892,5
1893,0
1894,7
1895,5
1896,8
1897,7
1898,7
1899,9
1900,5
1901,7
1902,0
1903,7
1904,8
1905,0
1906,6
1907,8
1908,5
1909,0
1910,10
1911,0
1912,16
1913,25
1914,19
1915,30
1916,21
1917,29
1918,25
1919,28
1920,27
1921,33
1922,23
1923,23
1924,23
1925,26
1926,17
1927,29
1928,20
1929,25
1930,17
1931,22
1932,19
1933,16
1934,22
1935,16
1936,13
1937,19
1938,24
1939,16
1940,10
1941,9
1942,12
1943,17
1944,12
1945,14
1946,23
1947,12
1948,16
1949,16
1950,8
1951,14
1952,16
1953,13
1954,10
1955,12
1956,5
1957,14
1958,12
1959,11
1960,11
1961,8
1962,10
1963,7
1964,6
1965,0
1966,5
1967,5
1968,6
1969,0
1970,0
1971,5
1972,9
1973,0
1974,8
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,8
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,7
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
