year,Gregoria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,6
1889,8
1890,0
1891,0
1892,6
1893,5
1894,7
1895,8
1896,0
1897,5
1898,10
1899,6
1900,9
1901,9
1902,8
1903,18
1904,9
1905,6
1906,19
1907,14
1908,8
1909,10
1910,16
1911,13
1912,27
1913,23
1914,41
1915,44
1916,23
1917,40
1918,21
1919,55
1920,55
1921,64
1922,46
1923,52
1924,55
1925,53
1926,52
1927,62
1928,53
1929,37
1930,40
1931,49
1932,36
1933,24
1934,36
1935,32
1936,39
1937,29
1938,25
1939,33
1940,18
1941,27
1942,22
1943,28
1944,13
1945,24
1946,21
1947,20
1948,23
1949,17
1950,10
1951,15
1952,13
1953,21
1954,23
1955,27
1956,12
1957,20
1958,23
1959,17
1960,10
1961,12
1962,9
1963,17
1964,6
1965,16
1966,9
1967,12
1968,14
1969,12
1970,12
1971,13
1972,7
1973,15
1974,13
1975,17
1976,20
1977,21
1978,9
1979,18
1980,16
1981,13
1982,9
1983,7
1984,17
1985,6
1986,0
1987,7
1988,12
1989,5
1990,5
1991,7
1992,12
1993,5
1994,7
1995,8
1996,7
1997,5
1998,13
1999,10
2000,0
2001,0
2002,8
2003,0
2004,8
2005,6
2006,0
2007,0
2008,0
2009,7
2010,0
2011,6
2012,0
