year,Gibson
1880,0
1881,0
1882,8
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,9
1898,0
1899,5
1900,0
1901,0
1902,0
1903,5
1904,7
1905,0
1906,5
1907,0
1908,6
1909,0
1910,0
1911,6
1912,12
1913,15
1914,10
1915,14
1916,20
1917,15
1918,16
1919,16
1920,18
1921,18
1922,20
1923,18
1924,10
1925,20
1926,13
1927,11
1928,18
1929,9
1930,9
1931,16
1932,17
1933,13
1934,7
1935,11
1936,0
1937,14
1938,8
1939,10
1940,9
1941,7
1942,10
1943,17
1944,0
1945,14
1946,21
1947,12
1948,7
1949,16
1950,12
1951,13
1952,13
1953,11
1954,13
1955,12
1956,9
1957,12
1958,8
1959,14
1960,12
1961,8
1962,7
1963,13
1964,15
1965,16
1966,11
1967,7
1968,13
1969,5
1970,7
1971,13
1972,7
1973,5
1974,10
1975,7
1976,5
1977,5
1978,8
1979,0
1980,6
1981,10
1982,11
1983,0
1984,0
1985,12
1986,13
1987,11
1988,12
1989,22
1990,27
1991,13
1992,32
1993,25
1994,35
1995,39
1996,43
1997,43
1998,63
1999,72
2000,48
2001,76
2002,80
2003,95
2004,116
2005,128
2006,131
2007,151
2008,164
2009,183
2010,202
2011,226
2012,260
