year,Gayle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,9
1892,0
1893,5
1894,8
1895,6
1896,9
1897,11
1898,17
1899,12
1900,16
1901,9
1902,18
1903,0
1904,15
1905,20
1906,17
1907,20
1908,15
1909,18
1910,20
1911,22
1912,54
1913,60
1914,83
1915,126
1916,166
1917,184
1918,183
1919,154
1920,159
1921,163
1922,160
1923,154
1924,186
1925,178
1926,167
1927,182
1928,203
1929,190
1930,228
1931,262
1932,337
1933,364
1934,645
1935,856
1936,897
1937,864
1938,952
1939,967
1940,1224
1941,1138
1942,1291
1943,1554
1944,1368
1945,1612
1946,2072
1947,2619
1948,2191
1949,2411
1950,2465
1951,2927
1952,2735
1953,2761
1954,2570
1955,2560
1956,2353
1957,2248
1958,2006
1959,1888
1960,1531
1961,1487
1962,1298
1963,1127
1964,1133
1965,996
1966,811
1967,710
1968,666
1969,640
1970,552
1971,461
1972,339
1973,280
1974,272
1975,193
1976,204
1977,186
1978,174
1979,168
1980,145
1981,156
1982,149
1983,112
1984,111
1985,107
1986,92
1987,78
1988,71
1989,78
1990,47
1991,48
1992,43
1993,43
1994,36
1995,31
1996,45
1997,31
1998,29
1999,18
2000,20
2001,30
2002,11
2003,10
2004,8
2005,9
2006,9
2007,7
2008,15
2009,11
2010,7
2011,6
2012,5
