year,Georgeanna
1880,0
1881,0
1882,0
1883,6
1884,7
1885,5
1886,0
1887,5
1888,7
1889,0
1890,0
1891,0
1892,0
1893,0
1894,7
1895,6
1896,0
1897,0
1898,5
1899,0
1900,5
1901,0
1902,8
1903,5
1904,6
1905,6
1906,7
1907,0
1908,9
1909,7
1910,12
1911,8
1912,11
1913,10
1914,7
1915,13
1916,25
1917,16
1918,31
1919,18
1920,28
1921,25
1922,20
1923,17
1924,23
1925,24
1926,26
1927,20
1928,21
1929,21
1930,13
1931,21
1932,18
1933,18
1934,16
1935,17
1936,22
1937,19
1938,12
1939,20
1940,21
1941,34
1942,29
1943,31
1944,26
1945,36
1946,34
1947,26
1948,47
1949,29
1950,26
1951,33
1952,32
1953,32
1954,26
1955,22
1956,26
1957,21
1958,13
1959,17
1960,19
1961,25
1962,21
1963,13
1964,22
1965,16
1966,17
1967,22
1968,11
1969,20
1970,16
1971,16
1972,15
1973,23
1974,21
1975,17
1976,6
1977,21
1978,9
1979,12
1980,10
1981,9
1982,14
1983,0
1984,12
1985,5
1986,7
1987,7
1988,6
1989,6
1990,7
1991,6
1992,12
1993,0
1994,13
1995,8
1996,12
1997,9
1998,5
1999,12
2000,13
2001,8
2002,8
2003,6
2004,0
2005,6
2006,7
2007,0
2008,0
2009,8
2010,0
2011,5
2012,7
