year,Gaines
1880,0
1881,0
1882,5
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,5
1894,0
1895,5
1896,6
1897,0
1898,5
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,0
1908,0
1909,6
1910,6
1911,9
1912,12
1913,11
1914,25
1915,32
1916,15
1917,22
1918,25
1919,26
1920,18
1921,31
1922,27
1923,19
1924,26
1925,25
1926,19
1927,32
1928,20
1929,22
1930,25
1931,23
1932,20
1933,17
1934,27
1935,11
1936,29
1937,28
1938,10
1939,27
1940,28
1941,19
1942,14
1943,19
1944,18
1945,21
1946,24
1947,19
1948,19
1949,21
1950,26
1951,13
1952,15
1953,14
1954,19
1955,19
1956,14
1957,18
1958,18
1959,14
1960,16
1961,12
1962,8
1963,6
1964,9
1965,5
1966,10
1967,10
1968,9
1969,9
1970,0
1971,11
1972,7
1973,6
1974,0
1975,10
1976,9
1977,0
1978,0
1979,6
1980,6
1981,11
1982,9
1983,5
1984,0
1985,7
1986,6
1987,6
1988,0
1989,0
1990,5
1991,5
1992,6
1993,7
1994,6
1995,10
1996,8
1997,0
1998,0
1999,11
2000,7
2001,7
2002,6
2003,7
2004,5
2005,7
2006,10
2007,16
2008,15
2009,14
2010,13
2011,11
2012,9
