year,Geraldine
1880,7
1881,11
1882,12
1883,15
1884,18
1885,19
1886,25
1887,16
1888,40
1889,29
1890,27
1891,49
1892,60
1893,56
1894,73
1895,81
1896,86
1897,86
1898,110
1899,130
1900,145
1901,141
1902,156
1903,198
1904,219
1905,259
1906,321
1907,344
1908,362
1909,444
1910,551
1911,627
1912,949
1913,1064
1914,1320
1915,1872
1916,2555
1917,2897
1918,3456
1919,3738
1920,4274
1921,4530
1922,4653
1923,4721
1924,4844
1925,4852
1926,4836
1927,4954
1928,5172
1929,5356
1930,5470
1931,5438
1932,5363
1933,4978
1934,4854
1935,4840
1936,4884
1937,4573
1938,4672
1939,5183
1940,5175
1941,5263
1942,5466
1943,5209
1944,4684
1945,4489
1946,4868
1947,4822
1948,4226
1949,3932
1950,3461
1951,3353
1952,3064
1953,2677
1954,2583
1955,2210
1956,2065
1957,1859
1958,1566
1959,1452
1960,1428
1961,1286
1962,1209
1963,1059
1964,1101
1965,916
1966,832
1967,749
1968,675
1969,566
1970,517
1971,410
1972,217
1973,236
1974,180
1975,156
1976,163
1977,119
1978,120
1979,110
1980,109
1981,125
1982,130
1983,103
1984,107
1985,125
1986,122
1987,138
1988,367
1989,256
1990,199
1991,161
1992,152
1993,118
1994,102
1995,115
1996,90
1997,83
1998,94
1999,82
2000,95
2001,104
2002,92
2003,127
2004,185
2005,165
2006,144
2007,137
2008,165
2009,202
2010,208
2011,265
2012,254
