year,Glenda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,6
1905,11
1906,5
1907,10
1908,13
1909,15
1910,10
1911,26
1912,39
1913,48
1914,52
1915,68
1916,64
1917,81
1918,87
1919,78
1920,111
1921,117
1922,116
1923,123
1924,150
1925,143
1926,167
1927,162
1928,184
1929,184
1930,181
1931,229
1932,289
1933,680
1934,921
1935,1151
1936,1366
1937,1550
1938,1969
1939,2294
1940,2359
1941,2652
1942,3109
1943,3422
1944,3376
1945,2972
1946,3576
1947,4161
1948,3845
1949,3987
1950,4223
1951,4141
1952,3893
1953,3665
1954,3741
1955,3351
1956,3247
1957,3205
1958,2992
1959,2846
1960,2700
1961,2609
1962,2464
1963,2057
1964,1868
1965,1520
1966,1374
1967,1109
1968,998
1969,943
1970,893
1971,781
1972,615
1973,567
1974,507
1975,446
1976,456
1977,402
1978,362
1979,296
1980,329
1981,310
1982,326
1983,287
1984,231
1985,212
1986,198
1987,183
1988,171
1989,205
1990,175
1991,165
1992,179
1993,143
1994,137
1995,135
1996,124
1997,118
1998,111
1999,86
2000,96
2001,86
2002,95
2003,89
2004,66
2005,89
2006,72
2007,75
2008,61
2009,57
2010,46
2011,48
2012,39
