year,Gladys
1880,20
1881,40
1882,46
1883,71
1884,92
1885,91
1886,131
1887,201
1888,314
1889,414
1890,525
1891,633
1892,867
1893,1017
1894,1258
1895,1470
1896,1762
1897,1746
1898,2145
1899,2236
1900,2749
1901,2686
1902,2821
1903,2686
1904,2987
1905,3013
1906,3012
1907,3317
1908,3596
1909,3550
1910,3862
1911,3947
1912,4998
1913,5447
1914,6260
1915,7886
1916,8049
1917,8109
1918,8759
1919,8741
1920,8832
1921,8836
1922,8062
1923,7719
1924,7811
1925,7261
1926,6658
1927,6452
1928,5825
1929,5350
1930,5087
1931,4376
1932,4200
1933,3616
1934,3637
1935,3163
1936,2957
1937,2890
1938,2605
1939,2440
1940,2255
1941,2236
1942,2199
1943,2112
1944,1909
1945,1708
1946,1718
1947,1820
1948,1608
1949,1552
1950,1532
1951,1455
1952,1307
1953,1367
1954,1269
1955,1234
1956,1176
1957,1072
1958,956
1959,852
1960,861
1961,817
1962,715
1963,695
1964,628
1965,578
1966,435
1967,442
1968,382
1969,399
1970,369
1971,344
1972,243
1973,270
1974,267
1975,310
1976,262
1977,270
1978,201
1979,237
1980,291
1981,261
1982,292
1983,221
1984,227
1985,256
1986,231
1987,242
1988,242
1989,265
1990,448
1991,337
1992,312
1993,320
1994,289
1995,283
1996,277
1997,249
1998,192
1999,214
2000,184
2001,184
2002,198
2003,190
2004,186
2005,202
2006,207
2007,160
2008,135
2009,120
2010,103
2011,81
2012,81
