year,Gemma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,6
1907,8
1908,5
1909,12
1910,6
1911,12
1912,16
1913,11
1914,23
1915,25
1916,19
1917,28
1918,26
1919,24
1920,30
1921,21
1922,20
1923,27
1924,32
1925,26
1926,18
1927,13
1928,13
1929,13
1930,16
1931,20
1932,11
1933,15
1934,12
1935,11
1936,14
1937,17
1938,10
1939,12
1940,20
1941,10
1942,15
1943,17
1944,11
1945,21
1946,14
1947,14
1948,39
1949,37
1950,41
1951,32
1952,31
1953,26
1954,23
1955,23
1956,39
1957,27
1958,27
1959,45
1960,35
1961,28
1962,28
1963,45
1964,29
1965,40
1966,19
1967,25
1968,25
1969,24
1970,26
1971,30
1972,25
1973,21
1974,29
1975,24
1976,32
1977,31
1978,30
1979,26
1980,44
1981,37
1982,32
1983,38
1984,35
1985,40
1986,47
1987,56
1988,55
1989,45
1990,62
1991,56
1992,59
1993,81
1994,80
1995,97
1996,69
1997,75
1998,111
1999,140
2000,107
2001,155
2002,175
2003,154
2004,147
2005,201
2006,210
2007,218
2008,314
2009,541
2010,682
2011,906
2012,1011
