year,Grayson
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,6
1909,0
1910,5
1911,5
1912,12
1913,15
1914,15
1915,27
1916,24
1917,26
1918,25
1919,35
1920,28
1921,21
1922,33
1923,29
1924,28
1925,28
1926,26
1927,22
1928,26
1929,32
1930,16
1931,39
1932,20
1933,16
1934,20
1935,11
1936,25
1937,22
1938,25
1939,18
1940,17
1941,33
1942,26
1943,25
1944,27
1945,15
1946,19
1947,24
1948,37
1949,18
1950,29
1951,25
1952,28
1953,23
1954,27
1955,26
1956,24
1957,26
1958,16
1959,22
1960,36
1961,27
1962,26
1963,24
1964,26
1965,18
1966,30
1967,37
1968,28
1969,40
1970,45
1971,42
1972,36
1973,27
1974,36
1975,45
1976,40
1977,36
1978,50
1979,62
1980,78
1981,53
1982,63
1983,84
1984,104
1985,145
1986,143
1987,163
1988,164
1989,181
1990,241
1991,251
1992,298
1993,315
1994,409
1995,649
1996,692
1997,754
1998,843
1999,937
2000,1087
2001,1064
2002,1085
2003,1162
2004,1355
2005,1468
2006,1822
2007,2041
2008,2267
2009,2365
2010,3481
2011,4048
2012,4872
