year,Galen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,0
1892,0
1893,0
1894,0
1895,8
1896,5
1897,0
1898,6
1899,5
1900,7
1901,0
1902,0
1903,0
1904,5
1905,6
1906,10
1907,9
1908,8
1909,7
1910,12
1911,9
1912,39
1913,41
1914,61
1915,62
1916,75
1917,69
1918,72
1919,79
1920,81
1921,95
1922,90
1923,114
1924,99
1925,110
1926,103
1927,124
1928,101
1929,123
1930,103
1931,119
1932,122
1933,128
1934,136
1935,140
1936,139
1937,138
1938,162
1939,169
1940,170
1941,171
1942,204
1943,219
1944,218
1945,206
1946,217
1947,306
1948,353
1949,441
1950,331
1951,385
1952,318
1953,307
1954,316
1955,296
1956,290
1957,269
1958,244
1959,255
1960,219
1961,231
1962,220
1963,206
1964,223
1965,173
1966,179
1967,183
1968,190
1969,193
1970,219
1971,191
1972,191
1973,154
1974,151
1975,191
1976,142
1977,143
1978,161
1979,157
1980,166
1981,161
1982,136
1983,150
1984,159
1985,171
1986,192
1987,170
1988,159
1989,173
1990,195
1991,166
1992,172
1993,177
1994,166
1995,168
1996,159
1997,131
1998,152
1999,132
2000,116
2001,100
2002,113
2003,100
2004,85
2005,86
2006,66
2007,46
2008,57
2009,51
2010,59
2011,31
2012,55
