year,Gladis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,7
1899,0
1900,8
1901,9
1902,8
1903,6
1904,10
1905,12
1906,7
1907,14
1908,11
1909,22
1910,16
1911,18
1912,19
1913,21
1914,36
1915,40
1916,50
1917,38
1918,39
1919,42
1920,51
1921,44
1922,52
1923,58
1924,47
1925,38
1926,54
1927,49
1928,34
1929,32
1930,36
1931,31
1932,35
1933,23
1934,31
1935,28
1936,23
1937,20
1938,15
1939,24
1940,17
1941,19
1942,22
1943,12
1944,15
1945,8
1946,15
1947,12
1948,14
1949,8
1950,18
1951,16
1952,18
1953,15
1954,7
1955,5
1956,15
1957,8
1958,11
1959,7
1960,5
1961,0
1962,7
1963,7
1964,10
1965,5
1966,5
1967,5
1968,7
1969,5
1970,5
1971,0
1972,0
1973,10
1974,11
1975,7
1976,11
1977,11
1978,8
1979,18
1980,22
1981,21
1982,36
1983,27
1984,23
1985,20
1986,20
1987,26
1988,18
1989,42
1990,69
1991,59
1992,61
1993,66
1994,49
1995,66
1996,58
1997,45
1998,47
1999,47
2000,48
2001,38
2002,38
2003,58
2004,41
2005,47
2006,54
2007,64
2008,38
2009,38
2010,26
2011,19
2012,15
