year,Gennie
1880,0
1881,0
1882,0
1883,0
1884,9
1885,0
1886,7
1887,0
1888,6
1889,5
1890,9
1891,5
1892,8
1893,11
1894,9
1895,12
1896,7
1897,5
1898,13
1899,9
1900,12
1901,10
1902,14
1903,10
1904,11
1905,14
1906,16
1907,18
1908,20
1909,20
1910,20
1911,22
1912,28
1913,30
1914,24
1915,41
1916,44
1917,45
1918,39
1919,52
1920,39
1921,44
1922,46
1923,51
1924,54
1925,51
1926,49
1927,47
1928,55
1929,46
1930,36
1931,40
1932,31
1933,42
1934,36
1935,32
1936,43
1937,36
1938,49
1939,31
1940,44
1941,44
1942,41
1943,34
1944,33
1945,49
1946,32
1947,36
1948,51
1949,30
1950,30
1951,40
1952,39
1953,47
1954,33
1955,28
1956,21
1957,23
1958,25
1959,33
1960,24
1961,27
1962,29
1963,18
1964,27
1965,16
1966,20
1967,12
1968,14
1969,21
1970,12
1971,22
1972,25
1973,11
1974,16
1975,17
1976,17
1977,14
1978,11
1979,11
1980,18
1981,24
1982,16
1983,16
1984,12
1985,14
1986,7
1987,11
1988,10
1989,11
1990,13
1991,7
1992,10
1993,0
1994,0
1995,5
1996,9
1997,6
1998,0
1999,6
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
