year,Gerhard
1880,0
1881,0
1882,6
1883,7
1884,6
1885,17
1886,0
1887,7
1888,5
1889,8
1890,8
1891,8
1892,8
1893,5
1894,7
1895,7
1896,0
1897,0
1898,6
1899,10
1900,8
1901,0
1902,0
1903,12
1904,5
1905,9
1906,6
1907,0
1908,9
1909,12
1910,7
1911,12
1912,43
1913,38
1914,45
1915,50
1916,59
1917,62
1918,57
1919,42
1920,50
1921,41
1922,46
1923,39
1924,39
1925,41
1926,53
1927,55
1928,43
1929,53
1930,46
1931,39
1932,33
1933,34
1934,40
1935,37
1936,30
1937,37
1938,24
1939,21
1940,36
1941,25
1942,35
1943,28
1944,17
1945,13
1946,12
1947,18
1948,9
1949,13
1950,11
1951,23
1952,12
1953,20
1954,27
1955,25
1956,37
1957,29
1958,27
1959,33
1960,27
1961,25
1962,34
1963,30
1964,39
1965,34
1966,27
1967,22
1968,21
1969,24
1970,19
1971,18
1972,10
1973,13
1974,18
1975,6
1976,12
1977,6
1978,6
1979,6
1980,10
1981,5
1982,7
1983,8
1984,0
1985,0
1986,6
1987,7
1988,7
1989,9
1990,10
1991,7
1992,8
1993,7
1994,8
1995,8
1996,6
1997,8
1998,5
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,5
2006,13
2007,0
2008,0
2009,5
2010,0
2011,0
2012,6
