year,Gray
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,5
1888,0
1889,7
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,5
1898,0
1899,5
1900,10
1901,6
1902,0
1903,6
1904,0
1905,0
1906,5
1907,0
1908,6
1909,5
1910,0
1911,7
1912,19
1913,12
1914,12
1915,29
1916,13
1917,17
1918,17
1919,32
1920,33
1921,22
1922,20
1923,18
1924,22
1925,22
1926,18
1927,17
1928,14
1929,14
1930,16
1931,13
1932,15
1933,13
1934,19
1935,23
1936,13
1937,20
1938,15
1939,16
1940,11
1941,27
1942,24
1943,14
1944,26
1945,17
1946,25
1947,35
1948,23
1949,31
1950,32
1951,24
1952,32
1953,28
1954,36
1955,41
1956,39
1957,33
1958,41
1959,37
1960,34
1961,26
1962,50
1963,38
1964,30
1965,26
1966,27
1967,20
1968,28
1969,28
1970,27
1971,21
1972,23
1973,29
1974,19
1975,22
1976,9
1977,18
1978,20
1979,16
1980,17
1981,18
1982,18
1983,15
1984,29
1985,26
1986,21
1987,41
1988,28
1989,49
1990,30
1991,22
1992,29
1993,54
1994,64
1995,52
1996,61
1997,42
1998,38
1999,53
2000,39
2001,57
2002,46
2003,57
2004,54
2005,65
2006,81
2007,95
2008,93
2009,108
2010,121
2011,119
2012,137
