year,Godfrey
1880,9
1881,9
1882,0
1883,10
1884,9
1885,10
1886,10
1887,8
1888,13
1889,6
1890,9
1891,0
1892,7
1893,9
1894,6
1895,10
1896,9
1897,9
1898,11
1899,9
1900,10
1901,0
1902,6
1903,5
1904,12
1905,13
1906,14
1907,8
1908,6
1909,11
1910,11
1911,11
1912,34
1913,31
1914,39
1915,46
1916,38
1917,61
1918,71
1919,53
1920,57
1921,55
1922,35
1923,56
1924,41
1925,48
1926,53
1927,48
1928,38
1929,37
1930,36
1931,40
1932,33
1933,19
1934,29
1935,28
1936,29
1937,23
1938,32
1939,30
1940,37
1941,19
1942,31
1943,33
1944,29
1945,31
1946,39
1947,54
1948,55
1949,41
1950,39
1951,36
1952,34
1953,40
1954,35
1955,40
1956,38
1957,35
1958,42
1959,34
1960,31
1961,40
1962,33
1963,31
1964,33
1965,13
1966,22
1967,22
1968,20
1969,24
1970,23
1971,22
1972,30
1973,18
1974,13
1975,21
1976,23
1977,22
1978,19
1979,18
1980,22
1981,21
1982,23
1983,19
1984,15
1985,23
1986,15
1987,17
1988,19
1989,21
1990,23
1991,17
1992,13
1993,19
1994,15
1995,19
1996,18
1997,10
1998,15
1999,17
2000,8
2001,8
2002,13
2003,8
2004,12
2005,12
2006,8
2007,12
2008,0
2009,5
2010,11
2011,9
2012,16
