year,Pricilla
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,8
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,0
1904,9
1905,6
1906,0
1907,0
1908,0
1909,7
1910,0
1911,8
1912,0
1913,5
1914,0
1915,5
1916,0
1917,0
1918,9
1919,9
1920,11
1921,10
1922,12
1923,18
1924,12
1925,12
1926,8
1927,13
1928,8
1929,9
1930,9
1931,5
1932,6
1933,7
1934,9
1935,13
1936,6
1937,9
1938,9
1939,23
1940,28
1941,17
1942,28
1943,26
1944,24
1945,26
1946,35
1947,42
1948,24
1949,31
1950,34
1951,30
1952,25
1953,18
1954,24
1955,24
1956,32
1957,24
1958,34
1959,41
1960,34
1961,40
1962,38
1963,43
1964,43
1965,44
1966,33
1967,40
1968,44
1969,42
1970,46
1971,48
1972,38
1973,44
1974,46
1975,40
1976,42
1977,39
1978,54
1979,46
1980,71
1981,65
1982,68
1983,88
1984,80
1985,94
1986,85
1987,78
1988,112
1989,102
1990,125
1991,114
1992,98
1993,93
1994,114
1995,68
1996,58
1997,77
1998,80
1999,81
2000,100
2001,74
2002,92
2003,72
2004,70
2005,74
2006,70
2007,64
2008,54
2009,60
2010,39
2011,34
2012,30
