year,Princess
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,6
1897,0
1898,5
1899,0
1900,8
1901,0
1902,6
1903,0
1904,7
1905,5
1906,10
1907,0
1908,10
1909,7
1910,10
1911,11
1912,7
1913,7
1914,14
1915,25
1916,15
1917,22
1918,14
1919,20
1920,23
1921,24
1922,21
1923,18
1924,23
1925,23
1926,13
1927,20
1928,13
1929,12
1930,13
1931,15
1932,19
1933,15
1934,14
1935,13
1936,16
1937,21
1938,13
1939,17
1940,20
1941,25
1942,19
1943,24
1944,23
1945,25
1946,28
1947,30
1948,44
1949,33
1950,33
1951,38
1952,34
1953,42
1954,38
1955,52
1956,51
1957,46
1958,64
1959,90
1960,82
1961,93
1962,93
1963,108
1964,98
1965,95
1966,90
1967,87
1968,65
1969,53
1970,70
1971,73
1972,58
1973,76
1974,80
1975,73
1976,70
1977,89
1978,107
1979,150
1980,175
1981,187
1982,220
1983,251
1984,262
1985,267
1986,313
1987,239
1988,278
1989,308
1990,272
1991,251
1992,228
1993,252
1994,210
1995,216
1996,212
1997,239
1998,270
1999,261
2000,279
2001,263
2002,268
2003,383
2004,352
2005,371
2006,400
2007,347
2008,291
2009,300
2010,293
2011,304
2012,244
