year,Patty
1880,9
1881,0
1882,0
1883,6
1884,0
1885,0
1886,0
1887,0
1888,7
1889,5
1890,0
1891,0
1892,0
1893,9
1894,6
1895,5
1896,6
1897,0
1898,0
1899,6
1900,9
1901,8
1902,6
1903,6
1904,7
1905,13
1906,8
1907,7
1908,9
1909,9
1910,13
1911,14
1912,24
1913,21
1914,33
1915,42
1916,50
1917,54
1918,49
1919,57
1920,91
1921,82
1922,111
1923,146
1924,181
1925,270
1926,329
1927,442
1928,518
1929,639
1930,780
1931,836
1932,846
1933,893
1934,1077
1935,916
1936,992
1937,1121
1938,1168
1939,1061
1940,1101
1941,1145
1942,1175
1943,1198
1944,988
1945,1067
1946,1296
1947,1318
1948,1144
1949,1041
1950,904
1951,920
1952,1043
1953,1140
1954,1251
1955,1334
1956,1456
1957,2175
1958,2783
1959,3126
1960,2936
1961,2657
1962,2333
1963,2194
1964,2353
1965,1670
1966,1112
1967,896
1968,720
1969,679
1970,594
1971,514
1972,412
1973,341
1974,311
1975,250
1976,193
1977,172
1978,145
1979,129
1980,111
1981,126
1982,127
1983,110
1984,81
1985,73
1986,67
1987,66
1988,83
1989,49
1990,57
1991,52
1992,45
1993,47
1994,29
1995,28
1996,26
1997,27
1998,19
1999,20
2000,18
2001,27
2002,18
2003,15
2004,9
2005,17
2006,10
2007,18
2008,13
2009,12
2010,7
2011,9
2012,11
