year,Portia
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,6
1887,7
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,9
1895,7
1896,11
1897,0
1898,12
1899,8
1900,26
1901,7
1902,10
1903,7
1904,8
1905,10
1906,8
1907,11
1908,10
1909,8
1910,16
1911,14
1912,20
1913,22
1914,27
1915,34
1916,33
1917,37
1918,44
1919,36
1920,45
1921,44
1922,31
1923,37
1924,33
1925,33
1926,46
1927,37
1928,32
1929,35
1930,37
1931,27
1932,26
1933,17
1934,26
1935,25
1936,31
1937,29
1938,32
1939,22
1940,47
1941,89
1942,143
1943,156
1944,104
1945,115
1946,155
1947,151
1948,168
1949,199
1950,191
1951,196
1952,143
1953,148
1954,169
1955,170
1956,134
1957,150
1958,128
1959,116
1960,144
1961,164
1962,137
1963,145
1964,130
1965,151
1966,122
1967,128
1968,82
1969,120
1970,114
1971,128
1972,117
1973,118
1974,96
1975,76
1976,79
1977,96
1978,118
1979,113
1980,132
1981,129
1982,128
1983,151
1984,168
1985,171
1986,234
1987,235
1988,255
1989,267
1990,234
1991,196
1992,169
1993,146
1994,106
1995,81
1996,70
1997,68
1998,49
1999,70
2000,95
2001,100
2002,87
2003,72
2004,72
2005,67
2006,57
2007,65
2008,45
2009,52
2010,52
2011,65
2012,52
