year,Penelope
1880,5
1881,0
1882,0
1883,6
1884,0
1885,0
1886,7
1887,0
1888,8
1889,8
1890,5
1891,9
1892,0
1893,6
1894,0
1895,5
1896,6
1897,0
1898,5
1899,0
1900,6
1901,0
1902,5
1903,0
1904,0
1905,0
1906,5
1907,5
1908,0
1909,8
1910,8
1911,7
1912,11
1913,13
1914,16
1915,31
1916,37
1917,32
1918,44
1919,49
1920,54
1921,45
1922,61
1923,58
1924,65
1925,66
1926,64
1927,57
1928,49
1929,43
1930,44
1931,37
1932,45
1933,40
1934,43
1935,69
1936,102
1937,173
1938,187
1939,368
1940,439
1941,546
1942,670
1943,643
1944,678
1945,509
1946,642
1947,797
1948,782
1949,680
1950,644
1951,568
1952,529
1953,537
1954,481
1955,419
1956,382
1957,422
1958,386
1959,388
1960,317
1961,310
1962,286
1963,320
1964,266
1965,264
1966,223
1967,255
1968,282
1969,343
1970,315
1971,204
1972,220
1973,222
1974,185
1975,159
1976,121
1977,119
1978,108
1979,100
1980,80
1981,77
1982,59
1983,65
1984,59
1985,55
1986,53
1987,63
1988,47
1989,42
1990,59
1991,61
1992,62
1993,54
1994,65
1995,92
1996,80
1997,99
1998,116
1999,102
2000,130
2001,234
2002,346
2003,367
2004,423
2005,512
2006,648
2007,794
2008,919
2009,1294
2010,1546
2011,1866
2012,2526
