year,Patti
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,7
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,7
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,6
1910,0
1911,0
1912,8
1913,5
1914,16
1915,13
1916,17
1917,9
1918,15
1919,6
1920,22
1921,26
1922,30
1923,34
1924,45
1925,58
1926,50
1927,75
1928,73
1929,88
1930,74
1931,92
1932,86
1933,115
1934,146
1935,163
1936,205
1937,197
1938,230
1939,233
1940,242
1941,283
1942,353
1943,429
1944,373
1945,381
1946,565
1947,664
1948,579
1949,609
1950,711
1951,1144
1952,1456
1953,2031
1954,2097
1955,2175
1956,2421
1957,2701
1958,3118
1959,2766
1960,2464
1961,2065
1962,1974
1963,1752
1964,1634
1965,1312
1966,998
1967,888
1968,688
1969,578
1970,539
1971,426
1972,330
1973,249
1974,239
1975,169
1976,132
1977,115
1978,84
1979,90
1980,73
1981,69
1982,76
1983,75
1984,65
1985,49
1986,38
1987,35
1988,34
1989,21
1990,20
1991,13
1992,15
1993,23
1994,14
1995,12
1996,8
1997,8
1998,11
1999,9
2000,10
2001,6
2002,9
2003,7
2004,7
2005,6
2006,0
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
