year,Philip (F),Philip (M)
1880,0.000000,0.000923
1881,0.000000,0.000810
1882,0.000000,0.000822
1883,0.000000,0.000765
1884,0.000000,0.000661
1885,0.000000,0.000677
1886,0.000000,0.000732
1887,0.000000,0.000651
1888,0.000000,0.000654
1889,0.000000,0.000633
1890,0.000000,0.000637
1891,0.000000,0.000691
1892,0.000000,0.000715
1893,0.000000,0.000640
1894,0.000000,0.000632
1895,0.000000,0.000601
1896,0.000017,0.000610
1897,0.000000,0.000576
1898,0.000000,0.000640
1899,0.000000,0.000657
1900,0.000000,0.000575
1901,0.000000,0.000671
1902,0.000000,0.000584
1903,0.000000,0.000656
1904,0.000000,0.000659
1905,0.000000,0.000552
1906,0.000000,0.000654
1907,0.000000,0.000765
1908,0.000000,0.000653
1909,0.000012,0.000773
1910,0.000012,0.000708
1911,0.000000,0.000950
1912,0.000000,0.001252
1913,0.000007,0.001305
1914,0.000000,0.001320
1915,0.000005,0.001270
1916,0.000004,0.001245
1917,0.000004,0.001268
1918,0.000006,0.001259
1919,0.000003,0.001199
1920,0.000006,0.001193
1921,0.000005,0.001158
1922,0.000007,0.001210
1923,0.000007,0.001209
1924,0.000005,0.001226
1925,0.000004,0.001147
1926,0.000008,0.001179
1927,0.000011,0.001154
1928,0.000008,0.001206
1929,0.000008,0.001189
1930,0.000009,0.001194
1931,0.000005,0.001259
1932,0.000007,0.001243
1933,0.000007,0.001265
1934,0.000002,0.001341
1935,0.000002,0.001466
1936,0.000007,0.001460
1937,0.000007,0.001484
1938,0.000005,0.001434
1939,0.000006,0.001441
1940,0.000003,0.001596
1941,0.000004,0.001710
1942,0.000004,0.001684
1943,0.000005,0.001585
1944,0.000000,0.001485
1945,0.000005,0.001549
1946,0.000004,0.001594
1947,0.000002,0.001731
1948,0.000003,0.001785
1949,0.000005,0.001786
1950,0.000003,0.001733
1951,0.000002,0.001655
1952,0.000002,0.001620
1953,0.000002,0.001630
1954,0.000001,0.001577
1955,0.000003,0.001535
1956,0.000000,0.001481
1957,0.000004,0.001430
1958,0.000002,0.001410
1959,0.000004,0.001409
1960,0.000002,0.001327
1961,0.000005,0.001276
1962,0.000002,0.001256
1963,0.000004,0.001201
1964,0.000003,0.001280
1965,0.000003,0.001180
1966,0.000003,0.001138
1967,0.000005,0.001116
1968,0.000006,0.001071
1969,0.000004,0.001020
1970,0.000005,0.000975
1971,0.000005,0.000963
1972,0.000003,0.000884
1973,0.000005,0.000994
1974,0.000006,0.000977
1975,0.000007,0.000996
1976,0.000007,0.000971
1977,0.000005,0.000973
1978,0.000006,0.001040
1979,0.000007,0.001041
1980,0.000006,0.001034
1981,0.000009,0.001034
1982,0.000007,0.001038
1983,0.000005,0.001007
1984,0.000005,0.001010
1985,0.000010,0.001046
1986,0.000007,0.001030
1987,0.000006,0.001065
1988,0.000006,0.000913
1989,0.000004,0.000864
1990,0.000003,0.000795
1991,0.000003,0.000706
1992,0.000001,0.000634
1993,0.000000,0.000602
1994,0.000002,0.000510
1995,0.000000,0.000480
1996,0.000001,0.000473
1997,0.000000,0.000458
1998,0.000000,0.000407
1999,0.000000,0.000359
2000,0.000000,0.000347
2001,0.000000,0.000326
2002,0.000000,0.000321
2003,0.000000,0.000282
2004,0.000000,0.000267
2005,0.000000,0.000258
2006,0.000000,0.000230
2007,0.000000,0.000220
2008,0.000000,0.000207
2009,0.000000,0.000200
2010,0.000000,0.000189
2011,0.000000,0.000190
2012,0.000000,0.000196
2013,0.000000,0.000211
2014,0.000000,0.000215
2015,0.000000,0.000191
2016,0.000000,0.000194
2017,0.000000,0.000204
2018,0.000000,0.000197
2019,0.000000,0.000201
2020,0.000000,0.000198
