year,Pilar
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,5
1899,0
1900,0
1901,7
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,7
1909,9
1910,9
1911,10
1912,13
1913,23
1914,13
1915,30
1916,29
1917,27
1918,36
1919,19
1920,41
1921,37
1922,50
1923,42
1924,53
1925,33
1926,37
1927,22
1928,36
1929,33
1930,26
1931,29
1932,24
1933,24
1934,27
1935,32
1936,19
1937,21
1938,19
1939,22
1940,13
1941,26
1942,12
1943,21
1944,23
1945,19
1946,24
1947,20
1948,43
1949,26
1950,32
1951,56
1952,25
1953,26
1954,34
1955,30
1956,32
1957,36
1958,35
1959,38
1960,57
1961,60
1962,56
1963,54
1964,56
1965,61
1966,63
1967,69
1968,63
1969,77
1970,87
1971,90
1972,64
1973,80
1974,65
1975,74
1976,71
1977,58
1978,52
1979,47
1980,70
1981,69
1982,84
1983,61
1984,46
1985,67
1986,45
1987,42
1988,58
1989,103
1990,130
1991,76
1992,72
1993,73
1994,62
1995,77
1996,74
1997,73
1998,76
1999,108
2000,116
2001,106
2002,110
2003,109
2004,134
2005,145
2006,98
2007,85
2008,131
2009,90
2010,84
2011,74
2012,79
