year,Philippe
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,8
1915,6
1916,5
1917,14
1918,7
1919,0
1920,9
1921,11
1922,14
1923,14
1924,11
1925,9
1926,15
1927,8
1928,19
1929,11
1930,17
1931,11
1932,6
1933,7
1934,12
1935,10
1936,6
1937,11
1938,13
1939,5
1940,14
1941,20
1942,10
1943,12
1944,8
1945,8
1946,11
1947,13
1948,23
1949,28
1950,21
1951,24
1952,25
1953,34
1954,34
1955,27
1956,24
1957,35
1958,36
1959,40
1960,31
1961,29
1962,39
1963,40
1964,53
1965,43
1966,40
1967,36
1968,42
1969,37
1970,42
1971,44
1972,31
1973,23
1974,33
1975,38
1976,39
1977,43
1978,56
1979,59
1980,55
1981,53
1982,50
1983,50
1984,50
1985,47
1986,59
1987,41
1988,53
1989,50
1990,44
1991,40
1992,44
1993,44
1994,45
1995,26
1996,31
1997,37
1998,43
1999,49
2000,38
2001,32
2002,34
2003,37
2004,31
2005,24
2006,24
2007,30
2008,27
2009,26
2010,16
2011,13
2012,21
