year,Pat
1880,12
1881,20
1882,28
1883,20
1884,26
1885,23
1886,23
1887,19
1888,30
1889,19
1890,29
1891,16
1892,24
1893,27
1894,28
1895,36
1896,27
1897,37
1898,27
1899,27
1900,50
1901,32
1902,42
1903,41
1904,41
1905,41
1906,42
1907,44
1908,49
1909,57
1910,77
1911,70
1912,106
1913,120
1914,173
1915,212
1916,240
1917,237
1918,285
1919,257
1920,282
1921,298
1922,325
1923,339
1924,399
1925,492
1926,634
1927,694
1928,819
1929,963
1930,1104
1931,1333
1932,1511
1933,1526
1934,1676
1935,1783
1936,1764
1937,2012
1938,1952
1939,2105
1940,2345
1941,2429
1942,2358
1943,2359
1944,2087
1945,2012
1946,2496
1947,2540
1948,1843
1949,1166
1950,825
1951,640
1952,627
1953,551
1954,602
1955,689
1956,855
1957,1443
1958,1894
1959,1950
1960,1756
1961,1539
1962,1314
1963,1048
1964,1021
1965,681
1966,518
1967,432
1968,353
1969,268
1970,227
1971,185
1972,122
1973,117
1974,81
1975,78
1976,65
1977,57
1978,54
1979,45
1980,36
1981,32
1982,36
1983,36
1984,28
1985,27
1986,29
1987,26
1988,21
1989,24
1990,20
1991,31
1992,21
1993,8
1994,9
1995,14
1996,0
1997,6
1998,7
1999,0
2000,6
2001,0
2002,5
2003,5
2004,0
2005,6
2006,11
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
