year,Pennie
1880,0
1881,0
1882,9
1883,6
1884,0
1885,9
1886,7
1887,0
1888,0
1889,7
1890,9
1891,7
1892,12
1893,7
1894,16
1895,5
1896,10
1897,16
1898,12
1899,8
1900,10
1901,9
1902,6
1903,9
1904,9
1905,13
1906,10
1907,20
1908,14
1909,8
1910,21
1911,11
1912,18
1913,20
1914,15
1915,13
1916,18
1917,25
1918,21
1919,22
1920,22
1921,20
1922,18
1923,15
1924,24
1925,22
1926,18
1927,21
1928,12
1929,12
1930,12
1931,15
1932,13
1933,16
1934,14
1935,7
1936,7
1937,12
1938,18
1939,27
1940,33
1941,27
1942,33
1943,68
1944,69
1945,54
1946,85
1947,109
1948,104
1949,90
1950,93
1951,98
1952,101
1953,102
1954,123
1955,121
1956,134
1957,168
1958,160
1959,198
1960,191
1961,212
1962,230
1963,258
1964,208
1965,208
1966,145
1967,134
1968,128
1969,135
1970,109
1971,114
1972,86
1973,94
1974,63
1975,58
1976,43
1977,57
1978,44
1979,39
1980,30
1981,30
1982,26
1983,32
1984,29
1985,26
1986,21
1987,16
1988,17
1989,18
1990,16
1991,11
1992,9
1993,8
1994,10
1995,7
1996,0
1997,0
1998,6
1999,8
2000,0
2001,5
2002,0
2003,10
2004,8
2005,8
2006,7
2007,0
2008,5
2009,9
2010,8
2011,11
2012,10
