year,Pattie
1880,22
1881,15
1882,23
1883,24
1884,28
1885,20
1886,20
1887,26
1888,42
1889,25
1890,25
1891,24
1892,31
1893,33
1894,41
1895,41
1896,41
1897,30
1898,33
1899,24
1900,52
1901,30
1902,38
1903,29
1904,20
1905,18
1906,36
1907,37
1908,27
1909,39
1910,47
1911,40
1912,65
1913,47
1914,55
1915,79
1916,77
1917,99
1918,78
1919,98
1920,87
1921,94
1922,97
1923,104
1924,93
1925,97
1926,97
1927,118
1928,109
1929,108
1930,118
1931,111
1932,126
1933,138
1934,122
1935,127
1936,130
1937,114
1938,120
1939,107
1940,113
1941,116
1942,139
1943,142
1944,143
1945,111
1946,146
1947,147
1948,124
1949,104
1950,120
1951,136
1952,171
1953,193
1954,192
1955,223
1956,246
1957,251
1958,291
1959,286
1960,257
1961,250
1962,241
1963,191
1964,224
1965,144
1966,135
1967,112
1968,85
1969,83
1970,76
1971,59
1972,56
1973,52
1974,43
1975,34
1976,23
1977,24
1978,20
1979,31
1980,15
1981,19
1982,18
1983,18
1984,13
1985,11
1986,9
1987,11
1988,10
1989,10
1990,8
1991,7
1992,5
1993,0
1994,6
1995,7
1996,0
1997,0
1998,0
1999,5
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
