year,Page
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,5
1889,0
1890,5
1891,5
1892,9
1893,0
1894,0
1895,0
1896,0
1897,0
1898,7
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,10
1911,6
1912,19
1913,13
1914,19
1915,29
1916,25
1917,40
1918,23
1919,28
1920,48
1921,30
1922,17
1923,26
1924,27
1925,26
1926,26
1927,25
1928,21
1929,28
1930,26
1931,26
1932,30
1933,18
1934,18
1935,23
1936,18
1937,34
1938,25
1939,34
1940,26
1941,26
1942,35
1943,35
1944,21
1945,31
1946,30
1947,41
1948,35
1949,37
1950,48
1951,35
1952,53
1953,50
1954,39
1955,53
1956,58
1957,48
1958,56
1959,57
1960,72
1961,87
1962,92
1963,95
1964,72
1965,66
1966,82
1967,99
1968,77
1969,68
1970,93
1971,77
1972,59
1973,55
1974,55
1975,57
1976,52
1977,46
1978,49
1979,53
1980,40
1981,39
1982,30
1983,45
1984,44
1985,49
1986,52
1987,76
1988,99
1989,98
1990,148
1991,110
1992,106
1993,107
1994,100
1995,134
1996,108
1997,111
1998,105
1999,72
2000,67
2001,53
2002,69
2003,55
2004,54
2005,43
2006,43
2007,35
2008,48
2009,35
2010,23
2011,26
2012,25
