year,Pheobe
1880,0
1881,0
1882,5
1883,0
1884,5
1885,7
1886,6
1887,0
1888,8
1889,9
1890,7
1891,5
1892,7
1893,9
1894,5
1895,0
1896,10
1897,5
1898,5
1899,8
1900,0
1901,5
1902,6
1903,0
1904,0
1905,0
1906,6
1907,0
1908,7
1909,7
1910,8
1911,6
1912,8
1913,5
1914,0
1915,15
1916,12
1917,10
1918,10
1919,14
1920,17
1921,12
1922,13
1923,9
1924,13
1925,9
1926,13
1927,6
1928,11
1929,9
1930,11
1931,5
1932,6
1933,7
1934,8
1935,6
1936,5
1937,6
1938,5
1939,9
1940,0
1941,8
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,8
1949,0
1950,6
1951,0
1952,6
1953,0
1954,7
1955,0
1956,6
1957,0
1958,0
1959,5
1960,0
1961,5
1962,5
1963,5
1964,0
1965,7
1966,0
1967,7
1968,9
1969,5
1970,0
1971,8
1972,7
1973,9
1974,5
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,6
1992,0
1993,6
1994,6
1995,7
1996,7
1997,7
1998,8
1999,12
2000,16
2001,13
2002,16
2003,21
2004,19
2005,18
2006,27
2007,29
2008,35
2009,49
2010,27
2011,28
2012,30
