year,Phoebe
1880,50
1881,46
1882,62
1883,66
1884,75
1885,72
1886,80
1887,63
1888,65
1889,67
1890,74
1891,84
1892,88
1893,86
1894,85
1895,90
1896,106
1897,72
1898,79
1899,84
1900,71
1901,54
1902,87
1903,68
1904,63
1905,87
1906,53
1907,82
1908,76
1909,78
1910,90
1911,87
1912,104
1913,112
1914,177
1915,198
1916,199
1917,227
1918,215
1919,193
1920,220
1921,199
1922,193
1923,194
1924,197
1925,192
1926,162
1927,169
1928,177
1929,148
1930,163
1931,144
1932,146
1933,143
1934,127
1935,127
1936,139
1937,121
1938,151
1939,143
1940,150
1941,155
1942,127
1943,128
1944,112
1945,101
1946,117
1947,127
1948,105
1949,107
1950,99
1951,109
1952,99
1953,96
1954,130
1955,120
1956,109
1957,106
1958,110
1959,116
1960,116
1961,119
1962,110
1963,106
1964,100
1965,75
1966,106
1967,137
1968,96
1969,100
1970,112
1971,113
1972,112
1973,118
1974,95
1975,112
1976,107
1977,151
1978,115
1979,100
1980,84
1981,83
1982,80
1983,92
1984,106
1985,117
1986,139
1987,109
1988,121
1989,189
1990,224
1991,233
1992,194
1993,214
1994,247
1995,396
1996,432
1997,418
1998,397
1999,527
2000,641
2001,752
2002,665
2003,688
2004,755
2005,730
2006,889
2007,988
2008,959
2009,1016
2010,1036
2011,1020
2012,1057
