year,Peggie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,7
1889,0
1890,0
1891,0
1892,6
1893,5
1894,5
1895,0
1896,0
1897,0
1898,6
1899,0
1900,9
1901,8
1902,13
1903,7
1904,12
1905,8
1906,10
1907,11
1908,6
1909,7
1910,15
1911,11
1912,13
1913,13
1914,22
1915,27
1916,46
1917,31
1918,46
1919,32
1920,40
1921,58
1922,55
1923,48
1924,66
1925,80
1926,81
1927,73
1928,104
1929,134
1930,124
1931,148
1932,137
1933,166
1934,178
1935,162
1936,169
1937,177
1938,181
1939,205
1940,201
1941,222
1942,196
1943,186
1944,191
1945,182
1946,194
1947,239
1948,258
1949,245
1950,182
1951,196
1952,196
1953,178
1954,173
1955,155
1956,159
1957,117
1958,188
1959,133
1960,102
1961,79
1962,71
1963,59
1964,44
1965,48
1966,44
1967,44
1968,40
1969,30
1970,32
1971,22
1972,21
1973,22
1974,17
1975,7
1976,0
1977,9
1978,12
1979,8
1980,6
1981,16
1982,12
1983,7
1984,6
1985,7
1986,0
1987,5
1988,0
1989,6
1990,0
1991,0
1992,6
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
