year,Patricia (F),Patricia (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000025,0.000000
1885,0.000021,0.000000
1886,0.000031,0.000000
1887,0.000040,0.000000
1888,0.000040,0.000000
1889,0.000059,0.000000
1890,0.000036,0.000000
1891,0.000042,0.000000
1892,0.000063,0.000000
1893,0.000086,0.000000
1894,0.000106,0.000000
1895,0.000100,0.000000
1896,0.000103,0.000000
1897,0.000141,0.000000
1898,0.000123,0.000000
1899,0.000165,0.000000
1900,0.000198,0.000000
1901,0.000197,0.000000
1902,0.000220,0.000000
1903,0.000207,0.000000
1904,0.000307,0.000000
1905,0.000285,0.000000
1906,0.000369,0.000000
1907,0.000380,0.000000
1908,0.000420,0.000000
1909,0.000456,0.000000
1910,0.000535,0.000000
1911,0.000504,0.000000
1912,0.000510,0.000000
1913,0.000517,0.000000
1914,0.000463,0.000000
1915,0.000488,0.000000
1916,0.000558,0.000000
1917,0.000718,0.000003
1918,0.000811,0.000002
1919,0.001016,0.000004
1920,0.001105,0.000003
1921,0.001449,0.000004
1922,0.001705,0.000003
1923,0.002085,0.000000
1924,0.002922,0.000008
1925,0.003469,0.000010
1926,0.003744,0.000013
1927,0.004550,0.000016
1928,0.005455,0.000014
1929,0.006217,0.000020
1930,0.007084,0.000023
1931,0.007829,0.000022
1932,0.008523,0.000021
1933,0.009318,0.000038
1934,0.010040,0.000033
1935,0.010948,0.000041
1936,0.011512,0.000048
1937,0.012599,0.000046
1938,0.012457,0.000048
1939,0.013483,0.000050
1940,0.014187,0.000061
1941,0.015149,0.000063
1942,0.014445,0.000058
1943,0.014040,0.000052
1944,0.013710,0.000043
1945,0.013513,0.000037
1946,0.014491,0.000035
1947,0.014234,0.000033
1948,0.013362,0.000028
1949,0.013304,0.000030
1950,0.013683,0.000024
1951,0.015327,0.000035
1952,0.013977,0.000028
1953,0.013246,0.000033
1954,0.012350,0.000025
1955,0.011515,0.000023
1956,0.010515,0.000025
1957,0.009351,0.000021
1958,0.009180,0.000026
1959,0.008475,0.000021
1960,0.007726,0.000017
1961,0.006972,0.000018
1962,0.006577,0.000020
1963,0.006405,0.000018
1964,0.006710,0.000022
1965,0.006495,0.000017
1966,0.005788,0.000024
1967,0.005226,0.000019
1968,0.004677,0.000020
1969,0.004302,0.000019
1970,0.003716,0.000020
1971,0.003341,0.000015
1972,0.003056,0.000015
1973,0.002810,0.000017
1974,0.002644,0.000016
1975,0.002337,0.000010
1976,0.001984,0.000012
1977,0.001859,0.000010
1978,0.001732,0.000011
1979,0.001699,0.000011
1980,0.001542,0.000011
1981,0.001528,0.000008
1982,0.001473,0.000013
1983,0.001422,0.000009
1984,0.001284,0.000009
1985,0.001232,0.000010
1986,0.001194,0.000011
1987,0.001086,0.000011
1988,0.001028,0.000012
1989,0.000938,0.000012
1990,0.000906,0.000010
1991,0.000878,0.000005
1992,0.000769,0.000003
1993,0.000706,0.000005
1994,0.000636,0.000003
1995,0.000590,0.000002
1996,0.000540,0.000002
1997,0.000491,0.000002
1998,0.000464,0.000002
1999,0.000415,0.000001
2000,0.000369,0.000001
2001,0.000326,0.000000
2002,0.000298,0.000000
2003,0.000266,0.000001
2004,0.000261,0.000000
2005,0.000228,0.000000
2006,0.000195,0.000001
2007,0.000182,0.000000
2008,0.000160,0.000000
2009,0.000148,0.000000
2010,0.000130,0.000000
2011,0.000117,0.000000
2012,0.000108,0.000000
