year,Paris
1880,0
1881,10
1882,11
1883,7
1884,8
1885,6
1886,10
1887,0
1888,5
1889,7
1890,13
1891,0
1892,11
1893,8
1894,12
1895,13
1896,7
1897,7
1898,7
1899,6
1900,9
1901,9
1902,0
1903,11
1904,6
1905,0
1906,10
1907,9
1908,12
1909,14
1910,6
1911,8
1912,22
1913,22
1914,27
1915,29
1916,31
1917,46
1918,52
1919,51
1920,49
1921,29
1922,40
1923,68
1924,45
1925,28
1926,38
1927,37
1928,29
1929,32
1930,30
1931,35
1932,26
1933,22
1934,29
1935,20
1936,23
1937,19
1938,31
1939,26
1940,18
1941,24
1942,35
1943,47
1944,44
1945,38
1946,38
1947,40
1948,51
1949,34
1950,37
1951,51
1952,34
1953,43
1954,48
1955,58
1956,111
1957,83
1958,68
1959,93
1960,120
1961,139
1962,136
1963,129
1964,137
1965,125
1966,97
1967,113
1968,106
1969,125
1970,183
1971,185
1972,144
1973,98
1974,126
1975,113
1976,123
1977,128
1978,112
1979,150
1980,175
1981,188
1982,235
1983,210
1984,262
1985,348
1986,438
1987,487
1988,471
1989,597
1990,673
1991,779
1992,804
1993,836
1994,729
1995,678
1996,636
1997,668
1998,768
1999,743
2000,783
2001,684
2002,745
2003,1274
2004,2246
2005,1782
2006,1347
2007,933
2008,759
2009,834
2010,1059
2011,1004
2012,1265
