year,Palmer
1880,10
1881,8
1882,15
1883,0
1884,6
1885,8
1886,12
1887,13
1888,16
1889,8
1890,10
1891,15
1892,10
1893,15
1894,18
1895,13
1896,12
1897,23
1898,16
1899,10
1900,21
1901,20
1902,11
1903,22
1904,19
1905,19
1906,27
1907,22
1908,44
1909,29
1910,30
1911,42
1912,77
1913,92
1914,81
1915,140
1916,141
1917,146
1918,180
1919,140
1920,151
1921,169
1922,166
1923,145
1924,133
1925,138
1926,128
1927,99
1928,105
1929,116
1930,105
1931,92
1932,96
1933,100
1934,70
1935,91
1936,83
1937,72
1938,59
1939,60
1940,68
1941,75
1942,74
1943,79
1944,71
1945,47
1946,50
1947,67
1948,60
1949,68
1950,52
1951,42
1952,48
1953,43
1954,40
1955,61
1956,55
1957,54
1958,37
1959,48
1960,39
1961,52
1962,41
1963,26
1964,45
1965,30
1966,28
1967,37
1968,31
1969,25
1970,30
1971,27
1972,23
1973,15
1974,14
1975,18
1976,19
1977,19
1978,11
1979,13
1980,27
1981,28
1982,21
1983,15
1984,24
1985,25
1986,44
1987,19
1988,27
1989,41
1990,48
1991,36
1992,39
1993,46
1994,59
1995,43
1996,53
1997,61
1998,94
1999,71
2000,72
2001,66
2002,61
2003,82
2004,97
2005,90
2006,112
2007,133
2008,104
2009,111
2010,96
2011,161
2012,252
