year,Powell
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,5
1891,6
1892,5
1893,0
1894,0
1895,0
1896,5
1897,6
1898,0
1899,5
1900,0
1901,6
1902,6
1903,6
1904,5
1905,0
1906,0
1907,7
1908,7
1909,6
1910,6
1911,0
1912,10
1913,23
1914,19
1915,17
1916,11
1917,25
1918,28
1919,32
1920,19
1921,24
1922,22
1923,15
1924,24
1925,28
1926,18
1927,15
1928,24
1929,19
1930,21
1931,22
1932,20
1933,22
1934,16
1935,16
1936,18
1937,15
1938,21
1939,22
1940,19
1941,23
1942,21
1943,8
1944,16
1945,22
1946,19
1947,20
1948,16
1949,13
1950,15
1951,13
1952,15
1953,14
1954,13
1955,15
1956,10
1957,9
1958,19
1959,12
1960,15
1961,10
1962,16
1963,16
1964,7
1965,13
1966,10
1967,11
1968,14
1969,7
1970,5
1971,0
1972,7
1973,5
1974,5
1975,5
1976,0
1977,5
1978,6
1979,0
1980,0
1981,12
1982,8
1983,0
1984,9
1985,6
1986,0
1987,5
1988,5
1989,11
1990,10
1991,10
1992,0
1993,0
1994,9
1995,14
1996,9
1997,0
1998,7
1999,10
2000,14
2001,10
2002,8
2003,5
2004,5
2005,9
2006,7
2007,11
2008,10
2009,10
2010,10
2011,6
2012,6
