year,Phillis
1880,0
1881,0
1882,6
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,6
1893,8
1894,9
1895,10
1896,8
1897,0
1898,11
1899,5
1900,7
1901,0
1902,7
1903,9
1904,5
1905,0
1906,6
1907,9
1908,6
1909,8
1910,8
1911,9
1912,9
1913,13
1914,21
1915,9
1916,25
1917,32
1918,26
1919,48
1920,39
1921,35
1922,42
1923,38
1924,45
1925,42
1926,43
1927,52
1928,50
1929,49
1930,54
1931,44
1932,41
1933,45
1934,36
1935,45
1936,54
1937,52
1938,50
1939,47
1940,49
1941,41
1942,76
1943,80
1944,62
1945,57
1946,87
1947,108
1948,94
1949,117
1950,94
1951,101
1952,84
1953,79
1954,77
1955,70
1956,91
1957,75
1958,83
1959,71
1960,95
1961,70
1962,68
1963,71
1964,66
1965,70
1966,45
1967,44
1968,47
1969,25
1970,27
1971,20
1972,27
1973,28
1974,16
1975,18
1976,9
1977,9
1978,9
1979,5
1980,8
1981,10
1982,6
1983,11
1984,7
1985,6
1986,0
1987,9
1988,7
1989,5
1990,0
1991,0
1992,8
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,8
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
