year,Precious
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,5
1899,0
1900,6
1901,0
1902,7
1903,6
1904,5
1905,5
1906,9
1907,6
1908,6
1909,5
1910,13
1911,9
1912,0
1913,7
1914,5
1915,10
1916,17
1917,22
1918,22
1919,29
1920,25
1921,18
1922,24
1923,18
1924,14
1925,27
1926,27
1927,34
1928,16
1929,26
1930,8
1931,12
1932,25
1933,14
1934,12
1935,9
1936,9
1937,15
1938,19
1939,15
1940,9
1941,18
1942,20
1943,16
1944,21
1945,14
1946,10
1947,16
1948,15
1949,29
1950,21
1951,13
1952,8
1953,16
1954,24
1955,18
1956,20
1957,10
1958,20
1959,15
1960,22
1961,23
1962,23
1963,30
1964,31
1965,37
1966,38
1967,38
1968,54
1969,31
1970,59
1971,65
1972,87
1973,72
1974,89
1975,106
1976,88
1977,132
1978,140
1979,188
1980,256
1981,252
1982,271
1983,268
1984,278
1985,377
1986,417
1987,432
1988,532
1989,505
1990,555
1991,573
1992,570
1993,594
1994,638
1995,619
1996,703
1997,639
1998,741
1999,687
2000,648
2001,746
2002,695
2003,558
2004,517
2005,527
2006,534
2007,500
2008,374
2009,368
2010,266
2011,195
2012,155
