year,Pearlie
1880,16
1881,29
1882,24
1883,33
1884,25
1885,45
1886,42
1887,65
1888,73
1889,68
1890,84
1891,76
1892,92
1893,89
1894,103
1895,109
1896,97
1897,111
1898,117
1899,97
1900,147
1901,119
1902,137
1903,119
1904,122
1905,136
1906,118
1907,134
1908,148
1909,140
1910,183
1911,170
1912,208
1913,207
1914,238
1915,271
1916,295
1917,298
1918,334
1919,373
1920,324
1921,358
1922,343
1923,328
1924,323
1925,393
1926,368
1927,377
1928,411
1929,381
1930,348
1931,309
1932,344
1933,316
1934,319
1935,326
1936,322
1937,412
1938,368
1939,354
1940,361
1941,338
1942,385
1943,342
1944,354
1945,319
1946,326
1947,308
1948,338
1949,334
1950,269
1951,253
1952,270
1953,206
1954,219
1955,191
1956,163
1957,166
1958,151
1959,148
1960,116
1961,101
1962,105
1963,84
1964,76
1965,53
1966,60
1967,37
1968,39
1969,27
1970,29
1971,38
1972,30
1973,21
1974,16
1975,14
1976,16
1977,19
1978,10
1979,13
1980,14
1981,9
1982,11
1983,11
1984,7
1985,9
1986,6
1987,6
1988,7
1989,9
1990,19
1991,7
1992,9
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,5
2012,0
