year,Porfirio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,7
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,8
1911,0
1912,7
1913,17
1914,15
1915,9
1916,17
1917,27
1918,23
1919,29
1920,46
1921,56
1922,32
1923,28
1924,33
1925,43
1926,43
1927,38
1928,47
1929,43
1930,47
1931,37
1932,50
1933,22
1934,34
1935,28
1936,21
1937,32
1938,27
1939,26
1940,29
1941,40
1942,36
1943,21
1944,32
1945,41
1946,35
1947,48
1948,47
1949,31
1950,32
1951,36
1952,34
1953,25
1954,23
1955,39
1956,46
1957,29
1958,33
1959,43
1960,37
1961,35
1962,40
1963,37
1964,31
1965,24
1966,44
1967,36
1968,30
1969,28
1970,30
1971,44
1972,43
1973,37
1974,29
1975,36
1976,48
1977,46
1978,37
1979,46
1980,40
1981,37
1982,37
1983,38
1984,42
1985,38
1986,36
1987,24
1988,47
1989,30
1990,43
1991,31
1992,35
1993,33
1994,45
1995,37
1996,34
1997,37
1998,41
1999,24
2000,40
2001,26
2002,27
2003,25
2004,23
2005,28
2006,22
2007,22
2008,22
2009,17
2010,15
2011,16
2012,19
