year,Paulina
1880,10
1881,8
1882,9
1883,7
1884,12
1885,5
1886,7
1887,12
1888,10
1889,6
1890,8
1891,13
1892,12
1893,11
1894,13
1895,15
1896,15
1897,13
1898,13
1899,7
1900,10
1901,6
1902,8
1903,10
1904,7
1905,10
1906,5
1907,11
1908,11
1909,11
1910,11
1911,14
1912,17
1913,14
1914,26
1915,33
1916,26
1917,28
1918,35
1919,28
1920,35
1921,34
1922,37
1923,38
1924,40
1925,78
1926,48
1927,47
1928,66
1929,51
1930,34
1931,39
1932,39
1933,22
1934,24
1935,21
1936,18
1937,15
1938,16
1939,18
1940,24
1941,11
1942,16
1943,24
1944,13
1945,16
1946,20
1947,15
1948,19
1949,21
1950,26
1951,25
1952,25
1953,21
1954,22
1955,21
1956,19
1957,29
1958,17
1959,24
1960,25
1961,37
1962,29
1963,26
1964,26
1965,36
1966,39
1967,29
1968,35
1969,43
1970,49
1971,48
1972,26
1973,48
1974,48
1975,36
1976,39
1977,54
1978,53
1979,50
1980,52
1981,78
1982,67
1983,63
1984,79
1985,58
1986,105
1987,135
1988,174
1989,294
1990,408
1991,414
1992,428
1993,470
1994,437
1995,428
1996,463
1997,519
1998,475
1999,593
2000,574
2001,648
2002,820
2003,725
2004,737
2005,788
2006,607
2007,657
2008,530
2009,470
2010,390
2011,361
2012,318
