year,Polly
1880,41
1881,48
1882,41
1883,33
1884,48
1885,43
1886,58
1887,48
1888,60
1889,56
1890,57
1891,58
1892,65
1893,61
1894,78
1895,76
1896,68
1897,66
1898,75
1899,57
1900,78
1901,62
1902,62
1903,73
1904,80
1905,71
1906,85
1907,77
1908,83
1909,82
1910,110
1911,91
1912,145
1913,138
1914,164
1915,209
1916,254
1917,267
1918,297
1919,249
1920,289
1921,285
1922,324
1923,312
1924,348
1925,319
1926,338
1927,331
1928,390
1929,394
1930,378
1931,385
1932,417
1933,371
1934,436
1935,377
1936,369
1937,373
1938,351
1939,418
1940,416
1941,435
1942,413
1943,427
1944,416
1945,400
1946,452
1947,443
1948,427
1949,474
1950,462
1951,472
1952,433
1953,516
1954,491
1955,588
1956,552
1957,509
1958,538
1959,506
1960,612
1961,658
1962,565
1963,573
1964,687
1965,447
1966,421
1967,399
1968,371
1969,296
1970,297
1971,307
1972,237
1973,220
1974,212
1975,155
1976,125
1977,188
1978,112
1979,113
1980,107
1981,79
1982,82
1983,62
1984,65
1985,64
1986,55
1987,60
1988,43
1989,65
1990,55
1991,61
1992,50
1993,33
1994,48
1995,38
1996,37
1997,35
1998,34
1999,21
2000,24
2001,29
2002,19
2003,25
2004,27
2005,42
2006,42
2007,33
2008,35
2009,36
2010,35
2011,44
2012,44
