year,Percival
1880,7
1881,7
1882,6
1883,5
1884,6
1885,7
1886,8
1887,0
1888,5
1889,6
1890,5
1891,6
1892,9
1893,7
1894,8
1895,0
1896,0
1897,8
1898,0
1899,0
1900,7
1901,7
1902,8
1903,5
1904,5
1905,7
1906,0
1907,0
1908,6
1909,0
1910,0
1911,0
1912,16
1913,11
1914,11
1915,11
1916,17
1917,13
1918,18
1919,10
1920,12
1921,22
1922,25
1923,9
1924,10
1925,10
1926,19
1927,7
1928,14
1929,9
1930,9
1931,9
1932,8
1933,8
1934,7
1935,6
1936,0
1937,8
1938,0
1939,0
1940,0
1941,5
1942,6
1943,6
1944,6
1945,0
1946,8
1947,7
1948,0
1949,6
1950,7
1951,5
1952,8
1953,5
1954,6
1955,8
1956,7
1957,12
1958,6
1959,10
1960,6
1961,8
1962,7
1963,6
1964,13
1965,14
1966,7
1967,0
1968,7
1969,9
1970,7
1971,14
1972,9
1973,10
1974,6
1975,8
1976,10
1977,11
1978,5
1979,6
1980,6
1981,8
1982,5
1983,16
1984,8
1985,6
1986,7
1987,7
1988,6
1989,6
1990,6
1991,6
1992,6
1993,9
1994,6
1995,5
1996,6
1997,6
1998,5
1999,7
2000,6
2001,6
2002,0
2003,0
2004,5
2005,0
2006,6
2007,8
2008,0
2009,5
2010,6
2011,13
2012,9
