year,Pearline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,6
1892,0
1893,5
1894,0
1895,5
1896,9
1897,8
1898,8
1899,9
1900,13
1901,0
1902,8
1903,15
1904,30
1905,17
1906,23
1907,23
1908,32
1909,41
1910,43
1911,37
1912,35
1913,44
1914,88
1915,74
1916,101
1917,109
1918,101
1919,118
1920,135
1921,140
1922,142
1923,133
1924,156
1925,178
1926,168
1927,188
1928,146
1929,148
1930,138
1931,148
1932,147
1933,171
1934,139
1935,158
1936,145
1937,123
1938,140
1939,106
1940,123
1941,110
1942,101
1943,113
1944,110
1945,95
1946,101
1947,94
1948,100
1949,121
1950,83
1951,74
1952,78
1953,80
1954,84
1955,77
1956,86
1957,57
1958,43
1959,48
1960,46
1961,45
1962,36
1963,57
1964,27
1965,36
1966,33
1967,20
1968,19
1969,15
1970,30
1971,12
1972,21
1973,7
1974,7
1975,6
1976,10
1977,5
1978,6
1979,6
1980,11
1981,0
1982,9
1983,13
1984,9
1985,5
1986,0
1987,6
1988,5
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,8
1997,0
1998,0
1999,7
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
