year,Phil
1880,12
1881,18
1882,13
1883,23
1884,19
1885,14
1886,18
1887,16
1888,17
1889,19
1890,21
1891,16
1892,20
1893,15
1894,19
1895,15
1896,17
1897,23
1898,19
1899,14
1900,22
1901,21
1902,23
1903,20
1904,21
1905,22
1906,18
1907,23
1908,26
1909,23
1910,32
1911,29
1912,62
1913,73
1914,101
1915,120
1916,108
1917,133
1918,155
1919,130
1920,130
1921,157
1922,136
1923,163
1924,161
1925,139
1926,161
1927,174
1928,158
1929,157
1930,185
1931,207
1932,217
1933,210
1934,271
1935,264
1936,285
1937,290
1938,310
1939,332
1940,354
1941,392
1942,404
1943,421
1944,406
1945,392
1946,543
1947,660
1948,574
1949,443
1950,360
1951,290
1952,262
1953,257
1954,243
1955,295
1956,333
1957,496
1958,585
1959,675
1960,632
1961,630
1962,615
1963,474
1964,478
1965,359
1966,271
1967,210
1968,192
1969,195
1970,156
1971,145
1972,120
1973,80
1974,62
1975,69
1976,77
1977,64
1978,54
1979,61
1980,48
1981,68
1982,56
1983,44
1984,34
1985,28
1986,43
1987,39
1988,46
1989,47
1990,39
1991,47
1992,35
1993,32
1994,39
1995,22
1996,35
1997,24
1998,24
1999,18
2000,24
2001,19
2002,21
2003,16
2004,18
2005,25
2006,18
2007,20
2008,23
2009,14
2010,8
2011,8
2012,17
