year,Patience
1880,7
1881,6
1882,6
1883,6
1884,7
1885,11
1886,0
1887,8
1888,8
1889,0
1890,9
1891,12
1892,6
1893,5
1894,11
1895,9
1896,11
1897,9
1898,0
1899,10
1900,10
1901,10
1902,5
1903,7
1904,8
1905,7
1906,7
1907,0
1908,13
1909,8
1910,11
1911,7
1912,0
1913,11
1914,18
1915,18
1916,17
1917,26
1918,19
1919,17
1920,18
1921,14
1922,17
1923,20
1924,21
1925,12
1926,16
1927,14
1928,18
1929,13
1930,9
1931,17
1932,15
1933,7
1934,16
1935,16
1936,17
1937,24
1938,27
1939,22
1940,21
1941,36
1942,20
1943,27
1944,19
1945,16
1946,22
1947,24
1948,16
1949,15
1950,18
1951,17
1952,15
1953,24
1954,30
1955,27
1956,29
1957,39
1958,31
1959,29
1960,39
1961,36
1962,35
1963,27
1964,39
1965,42
1966,45
1967,32
1968,33
1969,32
1970,39
1971,50
1972,54
1973,94
1974,76
1975,89
1976,79
1977,90
1978,101
1979,77
1980,105
1981,77
1982,61
1983,70
1984,64
1985,63
1986,75
1987,65
1988,66
1989,113
1990,170
1991,158
1992,176
1993,163
1994,202
1995,208
1996,255
1997,224
1998,251
1999,230
2000,246
2001,242
2002,263
2003,276
2004,292
2005,472
2006,507
2007,453
2008,388
2009,382
2010,345
2011,314
2012,313
