year,Marcia
1880,9
1881,13
1882,10
1883,23
1884,20
1885,23
1886,19
1887,18
1888,26
1889,26
1890,20
1891,28
1892,36
1893,42
1894,24
1895,31
1896,27
1897,26
1898,33
1899,23
1900,36
1901,20
1902,31
1903,38
1904,26
1905,36
1906,46
1907,39
1908,61
1909,54
1910,57
1911,69
1912,99
1913,113
1914,132
1915,178
1916,171
1917,208
1918,256
1919,325
1920,361
1921,451
1922,428
1923,492
1924,461
1925,455
1926,487
1927,538
1928,540
1929,584
1930,692
1931,800
1932,950
1933,1148
1934,1267
1935,1343
1936,1601
1937,1960
1938,2175
1939,2355
1940,2280
1941,2440
1942,2683
1943,2974
1944,3139
1945,3205
1946,3956
1947,4481
1948,4659
1949,4659
1950,4957
1951,5304
1952,5209
1953,5073
1954,4749
1955,4418
1956,4066
1957,3550
1958,3362
1959,3095
1960,2698
1961,2692
1962,2428
1963,2164
1964,1939
1965,1548
1966,1425
1967,1316
1968,1142
1969,1115
1970,1290
1971,1213
1972,1000
1973,936
1974,963
1975,799
1976,759
1977,716
1978,707
1979,619
1980,536
1981,531
1982,454
1983,356
1984,350
1985,334
1986,277
1987,285
1988,246
1989,217
1990,213
1991,195
1992,159
1993,188
1994,123
1995,117
1996,102
1997,89
1998,91
1999,84
2000,93
2001,77
2002,65
2003,61
2004,69
2005,70
2006,77
2007,77
2008,51
2009,60
2010,54
2011,47
2012,43
