year,Martina
1880,6
1881,0
1882,6
1883,8
1884,8
1885,7
1886,9
1887,11
1888,8
1889,11
1890,8
1891,11
1892,15
1893,17
1894,17
1895,15
1896,19
1897,13
1898,18
1899,32
1900,21
1901,18
1902,22
1903,17
1904,32
1905,23
1906,22
1907,18
1908,26
1909,32
1910,37
1911,35
1912,45
1913,45
1914,55
1915,71
1916,69
1917,83
1918,75
1919,97
1920,105
1921,98
1922,83
1923,106
1924,92
1925,86
1926,94
1927,90
1928,114
1929,73
1930,94
1931,86
1932,89
1933,59
1934,85
1935,72
1936,67
1937,56
1938,50
1939,60
1940,66
1941,83
1942,93
1943,110
1944,101
1945,91
1946,85
1947,102
1948,107
1949,116
1950,110
1951,105
1952,121
1953,127
1954,117
1955,105
1956,129
1957,154
1958,115
1959,148
1960,144
1961,161
1962,200
1963,280
1964,339
1965,282
1966,277
1967,283
1968,264
1969,252
1970,237
1971,228
1972,181
1973,191
1974,159
1975,192
1976,202
1977,188
1978,178
1979,210
1980,224
1981,302
1982,267
1983,303
1984,319
1985,279
1986,295
1987,258
1988,287
1989,256
1990,236
1991,235
1992,218
1993,228
1994,239
1995,212
1996,223
1997,218
1998,226
1999,226
2000,235
2001,208
2002,180
2003,193
2004,176
2005,184
2006,164
2007,150
2008,152
2009,120
2010,123
2011,119
2012,99
