year,Margarita
1880,5
1881,7
1882,0
1883,6
1884,11
1885,7
1886,16
1887,8
1888,9
1889,15
1890,14
1891,19
1892,21
1893,21
1894,24
1895,22
1896,22
1897,32
1898,23
1899,30
1900,35
1901,30
1902,27
1903,40
1904,51
1905,40
1906,53
1907,49
1908,50
1909,56
1910,60
1911,70
1912,85
1913,100
1914,103
1915,130
1916,138
1917,153
1918,185
1919,190
1920,259
1921,274
1922,246
1923,280
1924,275
1925,285
1926,306
1927,312
1928,326
1929,350
1930,317
1931,303
1932,254
1933,219
1934,251
1935,261
1936,263
1937,245
1938,251
1939,235
1940,261
1941,260
1942,280
1943,307
1944,260
1945,292
1946,362
1947,376
1948,460
1949,499
1950,528
1951,502
1952,522
1953,553
1954,578
1955,551
1956,521
1957,596
1958,575
1959,532
1960,497
1961,543
1962,538
1963,528
1964,550
1965,497
1966,563
1967,532
1968,537
1969,526
1970,505
1971,517
1972,461
1973,468
1974,493
1975,488
1976,507
1977,479
1978,455
1979,420
1980,458
1981,481
1982,464
1983,451
1984,406
1985,396
1986,438
1987,368
1988,403
1989,464
1990,542
1991,577
1992,532
1993,529
1994,511
1995,457
1996,465
1997,468
1998,394
1999,367
2000,377
2001,360
2002,333
2003,289
2004,259
2005,269
2006,276
2007,244
2008,229
2009,209
2010,168
2011,165
2012,143
