year,Marina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,5
1890,0
1891,8
1892,0
1893,0
1894,8
1895,0
1896,9
1897,5
1898,6
1899,6
1900,11
1901,5
1902,8
1903,11
1904,5
1905,6
1906,10
1907,6
1908,10
1909,6
1910,14
1911,5
1912,26
1913,18
1914,18
1915,41
1916,45
1917,48
1918,36
1919,61
1920,58
1921,57
1922,49
1923,57
1924,66
1925,54
1926,68
1927,58
1928,63
1929,53
1930,39
1931,34
1932,37
1933,48
1934,65
1935,90
1936,61
1937,61
1938,83
1939,60
1940,81
1941,64
1942,73
1943,91
1944,93
1945,101
1946,117
1947,105
1948,135
1949,128
1950,127
1951,123
1952,141
1953,152
1954,249
1955,211
1956,207
1957,233
1958,212
1959,248
1960,339
1961,263
1962,289
1963,302
1964,360
1965,371
1966,340
1967,321
1968,321
1969,280
1970,293
1971,261
1972,239
1973,244
1974,253
1975,317
1976,285
1977,323
1978,288
1979,320
1980,332
1981,353
1982,402
1983,389
1984,422
1985,398
1986,390
1987,444
1988,448
1989,606
1990,856
1991,786
1992,1016
1993,1196
1994,1307
1995,1102
1996,1073
1997,980
1998,937
1999,934
2000,884
2001,913
2002,768
2003,752
2004,886
2005,758
2006,780
2007,698
2008,577
2009,493
2010,463
2011,469
2012,440
