year,Mavis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,12
1896,9
1897,9
1898,13
1899,10
1900,19
1901,21
1902,23
1903,18
1904,22
1905,18
1906,26
1907,30
1908,28
1909,30
1910,37
1911,33
1912,58
1913,81
1914,119
1915,264
1916,231
1917,236
1918,290
1919,369
1920,500
1921,560
1922,543
1923,556
1924,588
1925,588
1926,564
1927,602
1928,547
1929,548
1930,538
1931,478
1932,500
1933,464
1934,485
1935,414
1936,432
1937,457
1938,393
1939,388
1940,333
1941,328
1942,288
1943,280
1944,273
1945,229
1946,231
1947,288
1948,232
1949,225
1950,209
1951,164
1952,243
1953,187
1954,188
1955,172
1956,143
1957,163
1958,118
1959,136
1960,134
1961,155
1962,159
1963,125
1964,119
1965,70
1966,76
1967,61
1968,56
1969,37
1970,45
1971,40
1972,45
1973,43
1974,23
1975,27
1976,29
1977,23
1978,32
1979,28
1980,24
1981,19
1982,22
1983,28
1984,15
1985,13
1986,12
1987,14
1988,14
1989,15
1990,16
1991,16
1992,21
1993,11
1994,10
1995,14
1996,10
1997,9
1998,14
1999,9
2000,12
2001,12
2002,12
2003,13
2004,15
2005,12
2006,12
2007,13
2008,11
2009,16
2010,18
2011,39
2012,43
