year,Marylee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,12
1903,5
1904,0
1905,0
1906,6
1907,6
1908,0
1909,10
1910,13
1911,14
1912,16
1913,20
1914,26
1915,29
1916,28
1917,47
1918,39
1919,35
1920,36
1921,45
1922,46
1923,47
1924,47
1925,56
1926,41
1927,40
1928,38
1929,35
1930,34
1931,46
1932,36
1933,31
1934,50
1935,48
1936,45
1937,52
1938,54
1939,46
1940,64
1941,89
1942,78
1943,80
1944,86
1945,70
1946,88
1947,65
1948,57
1949,80
1950,60
1951,42
1952,49
1953,35
1954,35
1955,29
1956,29
1957,50
1958,40
1959,43
1960,56
1961,41
1962,35
1963,49
1964,41
1965,32
1966,28
1967,19
1968,14
1969,18
1970,22
1971,19
1972,15
1973,12
1974,16
1975,9
1976,7
1977,11
1978,12
1979,11
1980,15
1981,11
1982,13
1983,20
1984,13
1985,19
1986,23
1987,19
1988,17
1989,16
1990,15
1991,19
1992,16
1993,13
1994,13
1995,15
1996,9
1997,9
1998,10
1999,14
2000,0
2001,16
2002,13
2003,9
2004,13
2005,8
2006,11
2007,17
2008,11
2009,6
2010,16
2011,12
2012,9
