year,Melina
1880,0
1881,0
1882,0
1883,5
1884,0
1885,7
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,6
1893,0
1894,7
1895,6
1896,0
1897,5
1898,5
1899,7
1900,5
1901,5
1902,0
1903,7
1904,7
1905,0
1906,0
1907,0
1908,11
1909,5
1910,7
1911,7
1912,6
1913,7
1914,7
1915,12
1916,10
1917,8
1918,9
1919,9
1920,6
1921,5
1922,7
1923,6
1924,5
1925,5
1926,12
1927,0
1928,5
1929,6
1930,6
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,5
1941,0
1942,6
1943,0
1944,0
1945,0
1946,0
1947,15
1948,0
1949,8
1950,10
1951,13
1952,12
1953,16
1954,9
1955,13
1956,12
1957,8
1958,11
1959,13
1960,20
1961,40
1962,57
1963,43
1964,44
1965,72
1966,57
1967,106
1968,89
1969,86
1970,75
1971,103
1972,86
1973,71
1974,79
1975,100
1976,148
1977,143
1978,135
1979,164
1980,183
1981,178
1982,201
1983,192
1984,169
1985,182
1986,140
1987,118
1988,127
1989,143
1990,238
1991,344
1992,292
1993,354
1994,292
1995,328
1996,288
1997,258
1998,270
1999,425
2000,480
2001,569
2002,488
2003,441
2004,434
2005,510
2006,536
2007,674
2008,597
2009,681
2010,590
2011,498
2012,437
