year,Mercedes
1880,6
1881,0
1882,7
1883,6
1884,7
1885,6
1886,10
1887,10
1888,9
1889,13
1890,14
1891,18
1892,17
1893,14
1894,25
1895,27
1896,26
1897,17
1898,33
1899,35
1900,49
1901,25
1902,44
1903,33
1904,62
1905,60
1906,52
1907,68
1908,64
1909,73
1910,82
1911,92
1912,122
1913,131
1914,167
1915,232
1916,227
1917,259
1918,236
1919,226
1920,323
1921,299
1922,240
1923,282
1924,329
1925,301
1926,278
1927,298
1928,258
1929,275
1930,234
1931,220
1932,191
1933,182
1934,168
1935,181
1936,163
1937,203
1938,177
1939,170
1940,135
1941,119
1942,121
1943,134
1944,124
1945,156
1946,149
1947,146
1948,136
1949,148
1950,179
1951,186
1952,158
1953,159
1954,183
1955,158
1956,189
1957,167
1958,184
1959,181
1960,166
1961,181
1962,180
1963,185
1964,172
1965,167
1966,158
1967,164
1968,157
1969,167
1970,200
1971,191
1972,189
1973,172
1974,174
1975,219
1976,215
1977,209
1978,219
1979,228
1980,259
1981,263
1982,311
1983,319
1984,305
1985,367
1986,403
1987,444
1988,635
1989,1244
1990,1673
1991,1807
1992,1743
1993,1792
1994,1577
1995,1544
1996,1397
1997,1244
1998,1382
1999,1216
2000,1135
2001,1097
2002,1068
2003,947
2004,958
2005,816
2006,725
2007,661
2008,579
2009,456
2010,433
2011,362
2012,396
