year,Marcelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,6
1896,0
1897,0
1898,9
1899,7
1900,0
1901,6
1902,7
1903,14
1904,17
1905,13
1906,13
1907,18
1908,19
1909,10
1910,23
1911,23
1912,40
1913,48
1914,43
1915,60
1916,70
1917,90
1918,144
1919,153
1920,183
1921,146
1922,121
1923,147
1924,135
1925,91
1926,105
1927,99
1928,91
1929,74
1930,76
1931,60
1932,52
1933,51
1934,46
1935,39
1936,45
1937,38
1938,30
1939,41
1940,32
1941,37
1942,41
1943,44
1944,43
1945,35
1946,37
1947,51
1948,63
1949,56
1950,59
1951,56
1952,53
1953,58
1954,70
1955,62
1956,65
1957,67
1958,60
1959,68
1960,66
1961,80
1962,74
1963,83
1964,64
1965,75
1966,65
1967,76
1968,64
1969,67
1970,71
1971,83
1972,62
1973,54
1974,57
1975,51
1976,29
1977,32
1978,35
1979,53
1980,51
1981,45
1982,38
1983,33
1984,29
1985,37
1986,36
1987,34
1988,35
1989,35
1990,33
1991,27
1992,33
1993,21
1994,30
1995,40
1996,25
1997,30
1998,32
1999,27
2000,23
2001,11
2002,27
2003,17
2004,21
2005,22
2006,20
2007,15
2008,19
2009,16
2010,15
2011,16
2012,18
