year,Maude
1880,858
1881,929
1882,1094
1883,1102
1884,1231
1885,1228
1886,1189
1887,1162
1888,1406
1889,1302
1890,1367
1891,1200
1892,1275
1893,1208
1894,1157
1895,1142
1896,1104
1897,984
1898,1009
1899,908
1900,1018
1901,819
1902,834
1903,783
1904,757
1905,709
1906,619
1907,585
1908,510
1909,520
1910,575
1911,553
1912,598
1913,655
1914,693
1915,776
1916,739
1917,728
1918,727
1919,682
1920,700
1921,591
1922,534
1923,471
1924,485
1925,461
1926,387
1927,349
1928,291
1929,277
1930,258
1931,217
1932,192
1933,182
1934,195
1935,172
1936,163
1937,154
1938,142
1939,135
1940,146
1941,111
1942,117
1943,110
1944,101
1945,95
1946,87
1947,100
1948,88
1949,108
1950,85
1951,69
1952,76
1953,72
1954,63
1955,53
1956,71
1957,64
1958,42
1959,52
1960,49
1961,42
1962,34
1963,34
1964,27
1965,26
1966,26
1967,27
1968,20
1969,17
1970,24
1971,13
1972,20
1973,22
1974,14
1975,16
1976,10
1977,9
1978,7
1979,10
1980,11
1981,10
1982,13
1983,9
1984,8
1985,10
1986,8
1987,14
1988,11
1989,14
1990,11
1991,13
1992,9
1993,8
1994,10
1995,10
1996,7
1997,10
1998,8
1999,9
2000,7
2001,7
2002,10
2003,12
2004,12
2005,7
2006,7
2007,5
2008,8
2009,11
2010,7
2011,9
2012,9
