year,Mariah
1880,22
1881,13
1882,22
1883,15
1884,21
1885,26
1886,24
1887,30
1888,19
1889,30
1890,31
1891,21
1892,23
1893,28
1894,32
1895,29
1896,23
1897,26
1898,26
1899,17
1900,29
1901,14
1902,23
1903,22
1904,24
1905,25
1906,24
1907,17
1908,20
1909,15
1910,25
1911,25
1912,25
1913,33
1914,31
1915,23
1916,33
1917,29
1918,43
1919,40
1920,39
1921,32
1922,29
1923,32
1924,29
1925,23
1926,25
1927,22
1928,25
1929,20
1930,22
1931,16
1932,23
1933,10
1934,29
1935,21
1936,14
1937,18
1938,18
1939,16
1940,12
1941,18
1942,11
1943,20
1944,11
1945,8
1946,18
1947,11
1948,17
1949,11
1950,16
1951,14
1952,18
1953,11
1954,16
1955,8
1956,6
1957,8
1958,5
1959,13
1960,11
1961,6
1962,5
1963,13
1964,19
1965,19
1966,14
1967,14
1968,28
1969,27
1970,43
1971,60
1972,61
1973,135
1974,118
1975,156
1976,195
1977,304
1978,288
1979,312
1980,392
1981,321
1982,361
1983,336
1984,316
1985,342
1986,272
1987,437
1988,423
1989,399
1990,1102
1991,5197
1992,4726
1993,4098
1994,4764
1995,4788
1996,5452
1997,4802
1998,5092
1999,4650
2000,4112
2001,3587
2002,2677
2003,3077
2004,2985
2005,3846
2006,4066
2007,3699
2008,4034
2009,3587
2010,3102
2011,2982
2012,2869
